Employee_ID,Attrition_rate
EID_22713,0.1662
EID_9658,0.1522
EID_22203,0.1307
EID_7652,0.1608
EID_6516,0.1443
EID_20283,0.146
EID_21014,0.1646
EID_7693,0.144
EID_13232,0.1559
EID_6515,0.1414
EID_13639,0.1508
EID_14669,0.1532
EID_16537,0.1387
EID_5782,0.1442
EID_20157,0.1461
EID_1855,0.1273
EID_20748,0.1693
EID_23179,0.1326
EID_12838,0.1477
EID_21656,0.1392
EID_8844,0.1395
EID_1536,0.1468
EID_8822,0.1536
EID_11398,0.1571
EID_12965,0.1845
EID_5204,0.1466
EID_10030,0.1497
EID_13227,0.1531
EID_20607,0.139
EID_14070,0.1354
EID_3755,0.1726
EID_5459,0.1484
EID_7697,0.151
EID_3935,0.142
EID_19046,0.152
EID_4040,0.1313
EID_17730,0.1234
EID_4995,0.1532
EID_24653,0.1462
EID_6978,0.1419
EID_13775,0.1594
EID_14608,0.1328
EID_3148,0.1402
EID_24868,0.1327
EID_5521,0.1347
EID_21155,0.1494
EID_3840,0.1334
EID_10646,0.156
EID_6711,0.1537
EID_16247,0.1314
EID_16789,0.1528
EID_17967,0.1488
EID_13270,0.1408
EID_18462,0.1362
EID_22248,0.1443
EID_22693,0.1545
EID_25662,0.1384
EID_23346,0.1555
EID_4437,0.1292
EID_18108,0.1383
EID_7000,0.1371
EID_22770,0.1559
EID_7816,0.1208
EID_19615,0.147
EID_23807,0.1409
EID_16764,0.1464
EID_16818,0.1458
EID_22712,0.1438
EID_18198,0.1398
EID_11154,0.1413
EID_22137,0.1502
EID_11655,0.1467
EID_18514,0.1735
EID_24742,0.1573
EID_16019,0.131
EID_7357,0.1395
EID_20106,0.1436
EID_13284,0.134
EID_5451,0.1281
EID_19728,0.1514
EID_9178,0.1416
EID_13177,0.1378
EID_14300,0.1466
EID_4379,0.1362
EID_11285,0.1532
EID_14882,0.1717
EID_9969,0.1331
EID_23643,0.131
EID_5935,0.1738
EID_7741,0.1467
EID_6176,0.1595
EID_5418,0.1522
EID_20626,0.1601
EID_1725,0.1474
EID_14317,0.1603
EID_12120,0.1604
EID_20264,0.144
EID_16691,0.1404
EID_1093,0.1449
EID_2565,0.1537
EID_11463,0.1571
EID_12005,0.1318
EID_10326,0.1307
EID_12582,0.1479
EID_18228,0.145
EID_11670,0.1469
EID_24257,0.1371
EID_7024,0.1248
EID_10382,0.1374
EID_20210,0.1381
EID_10294,0.1315
EID_19941,0.1542
EID_25572,0.1451
EID_7758,0.1506
EID_22718,0.1633
EID_1078,0.1192
EID_8227,0.1447
EID_1702,0.1377
EID_3532,0.1227
EID_22452,0.1546
EID_3019,0.1553
EID_22264,0.1675
EID_9866,0.1387
EID_3520,0.1341
EID_21098,0.1347
EID_1186,0.1177
EID_12355,0.1545
EID_11020,0.1458
EID_19193,0.125
EID_17787,0.1147
EID_13719,0.1533
EID_24449,0.1534
EID_12957,0.1357
EID_24794,0.1474
EID_2866,0.1348
EID_10563,0.1397
EID_22492,0.1564
EID_4106,0.1433
EID_6648,0.1466
EID_7209,0.1469
EID_9692,0.1369
EID_22763,0.1439
EID_12622,0.143
EID_9831,0.1445
EID_5731,0.1342
EID_1114,0.1298
EID_25017,0.1616
EID_22956,0.1552
EID_5549,0.1513
EID_12022,0.1463
EID_8034,0.1383
EID_20644,0.1234
EID_20125,0.1373
EID_21957,0.1455
EID_8870,0.1433
EID_2305,0.1561
EID_3977,0.13
EID_14845,0.1161
EID_6629,0.1562
EID_14577,0.1489
EID_24509,0.1388
EID_1530,0.1412
EID_21524,0.1616
EID_6647,0.135
EID_19730,0.1505
EID_4424,0.1476
EID_7964,0.1386
EID_6289,0.1527
EID_2899,0.1528
EID_2827,0.1437
EID_8801,0.1585
EID_20454,0.1519
EID_18988,0.157
EID_8405,0.1615
EID_14497,0.1555
EID_11769,0.1759
EID_21353,0.1394
EID_2221,0.1502
EID_13218,0.1382
EID_4576,0.1706
EID_17470,0.1479
EID_14817,0.1491
EID_21845,0.1486
EID_21987,0.1323
EID_1168,0.1534
EID_14315,0.1488
EID_5043,0.1477
EID_1967,0.1627
EID_22274,0.1132
EID_11091,0.1272
EID_18421,0.1404
EID_8316,0.1429
EID_13308,0.1607
EID_19481,0.148
EID_17732,0.153
EID_4504,0.1505
EID_2539,0.1563
EID_19529,0.1484
EID_2279,0.1417
EID_14508,0.154
EID_12241,0.1519
EID_11530,0.1452
EID_20147,0.1217
EID_6154,0.1599
EID_3523,0.1359
EID_20453,0.1403
EID_11929,0.1477
EID_12840,0.1497
EID_22320,0.1564
EID_25383,0.1472
EID_10731,0.1367
EID_1017,0.1396
EID_1819,0.1601
EID_22849,0.1481
EID_12290,0.1589
EID_24238,0.1327
EID_3105,0.1656
EID_14242,0.1601
EID_16569,0.1481
EID_8094,0.1766
EID_7824,0.1481
EID_8978,0.1279
EID_25314,0.158
EID_17810,0.1315
EID_14856,0.1305
EID_22144,0.1453
EID_23603,0.123
EID_7211,0.141
EID_19340,0.1408
EID_1501,0.1316
EID_22111,0.1341
EID_16147,0.1438
EID_16746,0.144
EID_20777,0.168
EID_12999,0.1496
EID_21663,0.1505
EID_11862,0.1486
EID_17683,0.1663
EID_19819,0.1552
EID_21562,0.1587
EID_24390,0.1514
EID_14444,0.1405
EID_3261,0.1301
EID_7752,0.1335
EID_3033,0.1592
EID_22433,0.1304
EID_23727,0.1369
EID_24107,0.1349
EID_22537,0.1457
EID_13645,0.1513
EID_16021,0.138
EID_19800,0.1469
EID_1944,0.1353
EID_15868,0.1478
EID_22188,0.1643
EID_13833,0.1549
EID_15028,0.1446
EID_24861,0.1509
EID_13033,0.1642
EID_23673,0.1264
EID_13265,0.1465
EID_23411,0.1581
EID_3761,0.1381
EID_7299,0.1416
EID_2379,0.1371
EID_18863,0.164
EID_12115,0.1427
EID_23879,0.1407
EID_16586,0.1509
EID_19003,0.1538
EID_11107,0.1496
EID_15416,0.1435
EID_19214,0.1545
EID_5135,0.1583
